#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
161,Colonia,Space 92,2022-09-30,132,97,67,-5,20,3:55,0,52,393,4703,Dance/Electronic
162,Hungry (For Love),LF SYSTEM,2022-10-07,128,97,61,-3,49,2:56,0,64,95,935,Dance/Electronic
163,All Eyez On Me,Capozzi,2022-09-30,124,89,71,-5,60,3:56,2,47,186,9209,Dance/Electronic
164,Party All Night,Nostalgix,2022-11-18,135,87,83,-4,57,2:26,6,33,394,885,Dance/Electronic
165,All I Ever Wanted,Adriatique,2022-10-14,123,63,78,-10,37,6:32,1,49,187,2122,Dance/Electronic
166,Power,AMÉMÉ,2022-09-30,123,84,81,-9,7,7:50,1,44,188,3295,Dance/Electronic
167,Souljack,Shermanology,2022-10-14,126,81,78,-7,82,3:34,0,51,395,3306,Dance/Electronic
168,say it,piri,2022-10-21,84,58,64,-9,50,2:59,14,54,842,9716,Dance/Electronic
169,Raw - Tony Romera Remix,Julio Navas,2022-08-05,128,97,87,-5,16,3:38,39,59,396,2501,Dance/Electronic
170,Ferrari,James Hype,2022-04-01,125,69,85,-8,69,3:07,1,87,19,7998,Dance/Electronic
171,Afraid To Feel,LF SYSTEM,2022-05-02,128,91,58,-4,68,2:58,2,84,843,8183,Dance/Electronic
172,Ritmo,Raffa Fl,2021-08-13,124,87,78,-5,68,3:04,0,73,397,1363,Dance/Electronic
173,Rainfall (Praise You),Tom Santa,2022-02-18,128,86,77,-5,51,2:47,14,74,1293,5213,Dance/Electronic
174,Do It To It,ACRAZE,2021-08-20,125,81,85,-8,64,2:38,2,83,96,9402,Dance/Electronic
175,Talkin' Drums,Melé,2022-06-24,126,75,82,-7,47,3:01,1,54,398,3200,Dance/Electronic
176,Da Fonk (feat. Joni),Mochakk,2022-07-01,127,80,78,-9,43,6:06,1,58,399,4725,Dance/Electronic
177,BREAK MY SOUL,Beyoncé,2022-06-21,115,89,69,-5,85,4:38,6,79,1294,2134,Dance/Electronic
178,Massive,Drake,2022-06-17,125,67,50,-7,6,5:37,11,75,97,5908,Dance/Electronic
179,Won't Forget You - Edit,Shouse,2022-02-04,127,66,66,-7,56,3:51,2,74,98,1464,Dance/Electronic
180,California Dreamin' (feat. High Jinx),Chris Lorenzo,2021-10-08,128,91,69,-5,35,3:17,1,72,1295,33,Dance/Electronic
181,Check Out,J. Worra,2021-11-05,125,68,81,-7,78,2:54,1,70,1301,9792,Dance/Electronic
182,Believe (feat. Goodboys),ACRAZE,2022-10-07,124,87,66,-5,36,3:09,1,73,844,1833,Dance/Electronic
183,Morenita,HUGEL,2021-06-25,124,77,64,-5,18,2:56,0,69,1086,3204,Dance/Electronic
184,La Danza,John Summit,2022-03-11,126,88,80,-6,36,2:38,0,69,326,2664,Dance/Electronic
185,Still Sleepless,D.O.D,2021-09-17,126,74,63,-5,70,2:43,2,67,99,1822,Dance/Electronic
186,You Give Me A Feeling,Vintage Culture,2021-11-12,126,87,76,-6,68,3:06,26,67,10,7658,Dance/Electronic
187,Lauren (I Can't Stay Forever),Oden & Fatzo,2021-10-08,128,91,70,-9,96,3:21,8,66,400,5446,Dance/Electronic
188,My Humps,Joshwa,2021-10-29,129,79,86,-8,59,3:06,4,66,189,5944,Dance/Electronic
189,Tell Me Something Good,Ewan McVicar,2021-06-25,126,80,81,-11,96,4:10,1,65,401,9756,Dance/Electronic
190,Human (feat. Echoes),John Summit,2021-11-24,126,86,54,-7,23,3:39,0,66,541,3835,Dance/Electronic
191,No Diggity,HÄWK,2022-01-07,125,78,81,-9,44,3:39,2,64,190,7536,Dance/Electronic
192,Welcome To The People,JADED,2021-09-10,124,92,72,-5,75,2:41,12,64,1469,2170,Dance/Electronic
193,I Will Survive,Belters Only,2022-06-10,124,92,64,-5,56,2:31,38,64,191,6691,Dance/Electronic
194,Let You Do This (with Buy Now),Salvatore Ganacci,2022-09-15,124,71,75,-6,33,3:22,6,63,1302,782,Dance/Electronic
