#,Title,Artist,Release,BPM,Energy,Dance,Loud,Valence,Length,Acoustic,Pop.,A.Sep,Rnd,Genre
160,"Supercalifragilisticexpialidocious - From ""Mary Poppins""/Soundtrack Version",Julie Andrews,1997-01-01,80,61,52,-13,95,2:03,61,47,333,703,Disney
161,"Zero To Hero - From ""Hercules""",Ariana Grande,2015-10-30,116,77,51,-6,60,2:40,34,47,264,7792,Disney
162,Gaston,Josh Gad,2017-03-10,106,59,50,-7,58,4:26,49,57,334,2319,Disney
163,"Friend Like Me - From ""Aladdin""",Ne-Yo,2015-10-30,91,67,62,-6,67,3:03,20,48,71,8517,Disney
164,Be Our Guest,Ewan McGregor,2017-03-10,114,60,43,-8,53,4:49,41,54,186,1446,Disney
165,The Bare Necessities,Bill Murray,2016-04-15,103,66,58,-7,96,3:01,37,48,187,6617,Disney
166,Magic,Sia,2018-03-09,170,66,45,-7,18,3:30,24,44,72,7534,Disney
167,Spirit,Beyoncé,2019-07-11,81,41,44,-9,6,4:33,1,51,73,6305,Disney
168,It's Goin' Down,Dove Cameron,2017-07-21,156,85,48,-6,57,4:12,8,61,0,1918,Disney
169,Flesh & Bone/Come on Out Mashup,Chandler Kinney,2022-10-14,76,74,62,-4,66,2:55,1,42,171,3639,Disney
170,"Feeling the Love - From ""Descendants: The Royal Wedding""",Cast of Descendants: The Royal Wedding,2021-08-13,122,74,68,-6,34,2:57,8,46,188,9721,Disney
171,What Time Is It,Zac Efron,2007-01-01,116,91,74,-3,70,3:18,12,56,74,359,Disney
172,"Kicks - From ""Sneakerella""",Chosen Jacobs,2022-04-29,110,77,84,-5,86,2:47,2,33,189,9091,Disney
173,More Than a Mystery,Meg Donnelly,2020-10-16,109,67,74,-7,60,3:21,18,49,25,3040,Disney
174,"The Proud Family: Louder and Prouder Opening Theme - From ""The Proud Family: Louder and Prouder""/Soundtrack Version",Joyce Wrice,2022-02-23,99,77,64,-7,40,1:35,20,42,191,2995,Disney
175,Alien Invasion,ZOMBIES – Cast,2022-07-15,150,87,59,-5,32,4:01,9,63,42,8925,Disney
176,Calling All the Monsters - 2021 Version,Thriii,2021-10-01,144,87,66,-6,66,3:51,0,47,192,9038,Disney
177,That's So Raven (Theme Song),Raven-Symoné,2020-12-11,125,71,72,-4,96,0:51,1,43,75,9336,Disney
178,"It's On - From ""Camp Rock 2: The Final Jam""",Demi Lovato,2010-01-01,150,94,61,-4,92,4:03,1,49,4,1852,Disney
179,"My Kind of Monster - From ""Under Wraps 2""",Malachi Barton,2022-09-23,158,87,63,-1,92,2:39,7,46,193,6816,Disney
180,The Ghost and Molly McGee Main Title Theme,Ashly Burch,2021-10-01,115,92,63,-5,49,0:40,23,45,194,4021,Disney
181,Guardian Angel,Coco Jones,2012-06-12,132,93,56,-6,33,3:42,1,48,76,4390,Disney
182,"Moon Girl Magic - From ""Marvel's Moon Girl and Devil Dinosaur""",Diamond White,2022-11-14,120,88,82,-3,87,2:18,20,30,195,8984,Disney
183,You Do You,Cast of ZOMBIES: Addison's Moonstone Mystery,2020-10-16,122,68,93,-7,4,1:57,7,40,77,4547,Disney
184,Break This Down,Dove Cameron,2019-08-02,122,79,71,-5,31,3:30,1,56,44,9615,Disney
185,"Feeling the Love/Did I Mention Mashup - From ""Descendants""",Cast - Descendants,2021-11-05,122,86,72,-4,82,3:18,25,37,196,3825,Disney
186,"Shrimpy in the House - From ""ZOMBIES: Addison's Monster Mystery""",ZOMBIES – Cast,2021-10-22,104,79,82,-5,30,2:26,2,45,265,8718,Disney
187,All For One,High School Musical Cast,2007-01-01,150,99,66,-3,78,4:14,12,53,172,1725,Disney
188,Christmas Again,Scarlett Estevez,2021-12-03,78,90,65,-7,93,3:04,8,37,202,7715,Disney
189,Flesh & Bone,Milo Manheim,2020-02-14,140,67,58,-7,37,3:34,3,60,5,3105,Disney
190,"Hands Up Cash Out - From ""The Proud Family: Louder and Prouder""/A Cappella Version",Raquel Lee Bolleau,2022-02-25,186,72,73,-7,66,1:10,13,29,78,6752,Disney
191,Music Is Everything,Marius de Vries,2021-07-30,122,89,67,-8,54,3:14,1,20,79,2388,Disney
192,Best Summer Ever,Ross Lynch,2015-01-01,200,93,48,-4,76,3:29,1,39,2,1139,Disney
193,Feelin' the Power,Cast of ZOMBIES: Addison's Moonstone Mystery,2020-10-16,135,77,60,-5,61,2:21,2,38,398,862,Disney
194,We Own the Summer,Milo Manheim,2020-06-12,196,71,53,-7,64,2:44,14,45,99,3062,Disney
195,Wondering,Olivia Rodrigo,2020-01-10,131,45,46,-7,22,3:45,81,57,329,8089,Disney
196,Call to the Wild,Meg Donnelly,2020-02-14,131,83,79,-7,93,2:37,9,60,173,2087,Disney
197,Heartstomper,Anna Akana,2021-04-23,169,78,56,-6,63,1:39,0,40,203,4914,Disney
198,Hamster & Gretel Theme Song,Dan Povenmire,2022-08-12,142,88,55,-4,72,0:57,0,23,204,5812,Disney
199,Feeling Good,Matan Koplin-Green,2021-07-30,128,86,56,-9,22,4:03,0,21,205,6083,Disney
200,We're Back,Phineas,2020-08-28,160,93,65,-3,93,1:54,13,29,206,6619,Disney
201,Stuck at Home,Big City Greens,2021-02-05,141,66,72,-7,63,2:01,44,43,80,1262,Disney
202,Somebody,Bridgit Mendler,2011-01-01,165,73,46,-5,29,3:29,7,58,207,7290,Disney
203,Descendants Medley,DCappella,2021-09-24,117,93,52,-5,69,3:04,4,33,282,3480,Disney
204,"Change Me - From ""The Proud Family: Louder and Prouder""",MIYACHI,2022-02-25,99,84,88,-5,34,1:10,6,33,208,22,Disney
205,No Reason,Kylie Cantrall,2020-03-20,95,77,55,-5,71,2:16,32,33,43,2442,Disney
206,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,2020-01-10,129,46,80,-8,50,2:52,46,44,395,4522,Disney
207,Put the Happy in the Holidays,Issac Ryan Brown,2020-11-20,114,73,79,-6,75,3:01,3,39,81,7429,Disney
208,"Gotta Find You - From ""Camp Rock""/Soundtrack Version",Joe Jonas,2008-01-01,80,74,33,-5,46,4:02,5,53,209,7125,Disney
209,Silver Screen,Ross Lynch,2015-01-01,130,84,65,-5,64,2:58,1,40,84,5386,Disney
210,"Everything's Magic - From ""Upside-Down Magic""",Cast of Upside-Down Magic,2020-07-31,108,89,63,-6,67,2:01,0,29,210,7402,Disney
211,It's All Music,Marius de Vries,2021-07-30,125,74,56,-8,15,3:51,6,27,399,1540,Disney
212,Supernatural,Raven-Symoné,2020-12-11,100,82,74,-4,93,2:57,8,24,400,7472,Disney
213,Space Between,Dove Cameron,2017-07-21,156,76,43,-4,20,3:26,20,61,82,3703,Disney
214,The Climb,Miley Cyrus,2009-01-01,161,59,33,-7,33,3:56,8,67,26,7121,Disney
215,Like the Zombies Do,Milo Manheim,2020-02-14,114,75,88,-6,94,2:03,11,60,165,6774,Disney
216,We Rock,Cast Of Camp Rock,2008-01-01,144,95,64,-3,80,3:11,1,50,213,5219,Disney
217,Halloween House Party,Chandler Kinney,2020-10-02,104,90,81,-7,48,2:41,2,34,335,2258,Disney
218,Such a Beautiful Day,Candace,2020-08-28,142,73,63,-4,74,2:07,34,30,85,4721,Disney
219,Rotten to the Core (D3 Remix),Dove Cameron,2019-08-02,128,65,76,-5,69,2:48,3,48,113,5489,Disney
220,"Hands Up Cash Out - From ""The Proud Family: Louder and Prouder""/A Cappella Version",Raquel Lee Bolleau,2022-02-25,186,72,73,-7,66,1:10,13,29,401,3654,Disney
